time,FLOW,SALT,TEMP,PHS_frp,PHS_frp_ads,OGM_dop,OGM_pop,OGM_don,NIT_amm,NIT_nit,OGM_docr,CAR_dic,CAR_pH,SIL_rsi,ZOO_daphnia
2009-01-01 00:00:00,3.560861,0,-0.526716,0.8387,1.7857,0.6964,0.2505,45.7987,68.2334,457.9869,583.3333,5000,7.7,33,0
2009-01-02 00:00:00,6.162997,0,-0.585426,0.8397,1.7877,0.6972,0.2508,45.9058,67.8979,459.0576,583.3333,5000,7.7,33,0
2009-01-03 00:00:00,3.826635,0,-0.639793,0.8406,1.7897,0.698,0.2511,46.0275,67.5119,460.2748,583.3333,5000,7.7,33,0
2009-01-04 00:00:00,5.397271,0,-0.696168,0.843,1.7948,0.7,0.2518,46.0111,67.6125,460.1109,583.3333,5000,7.7,33,0
2009-01-05 00:00:00,5.417987,0,-0.742644,0.8442,1.7972,0.7009,0.2521,46.1417,67.1948,461.4172,583.3333,5000,7.7,33,0
2009-01-06 00:00:00,3.886593,0,-0.784772,0.8453,1.7997,0.7019,0.2525,46.2863,66.7311,462.8632,583.3333,5000,7.7,33,0
2009-01-07 00:00:00,5.806259,0,-0.821455,0.8462,1.8016,0.7026,0.2528,46.4712,66.1327,464.7122,583.3333,5000,7.7,33,0
2009-01-08 00:00:00,5.65432,0,-0.85336,0.8471,1.8034,0.7033,0.253,46.6804,65.4587,466.8045,583.3333,5000,7.7,33,0
2009-01-09 00:00:00,4.725836,0,-0.873803,0.8463,1.8018,0.7027,0.2528,47.0778,64.1731,470.7783,583.3333,5000,7.7,33,0
2009-01-10 00:00:00,5.821722,0,-0.906718,0.8494,1.8083,0.7052,0.2537,47.0768,64.2083,470.768,583.3333,5000,7.7,33,0
2009-01-11 00:00:00,5.724123,0,-0.926215,0.8504,1.8105,0.7061,0.254,47.3115,63.476,473.1149,583.3333,5000,7.7,33,0
2009-01-12 00:00:00,5.495776,0,-0.936452,0.8503,1.8104,0.706,0.254,47.6818,62.3267,476.8178,583.3333,5000,7.7,33,0
